5000_q1,10000_q1,25000_q1,50000_q1,5000_q2,10000_q2,25000_q2,50000_q2,5000_q3,10000_q3,25000_q3,50000_q3,5000_q4,10000_q4,25000_q4,50000_q4,5000_q5,10000_q5,25000_q5,50000_q5
1.06E-04,4.68E-05,1.99E-05,1.04E-05,8.60E-05,6.23E-05,2.00E-05,1.05E-05,5.66E-05,4.34E-05,1.90E-05,1.02E-05,1.39E-05,1.60E-05,7.60E-06,9.60E-06,2.45E-06,7.19E-07,3.46E-06,2.93E-06
8.82E-05,5.10E-05,2.02E-05,1.01E-05,7.54E-05,4.48E-05,2.00E-05,9.76E-06,3.34E-05,2.52E-05,1.50E-05,8.62E-06,2.03E-05,1.30E-05,0.000108759,9.11E-06,3.52E-06,7.74E-07,2.34E-06,1.42E-06
1.15E-04,4.91E-05,1.96E-05,9.99E-06,0.000103749,5.35E-05,2.02E-05,9.30E-06,3.84E-05,2.31E-05,1.28E-05,1.01E-05,1.56E-05,1.82E-05,1.50E-05,1.21E-05,1.27E-05,1.05E-06,1.72E-06,5.30E-06
1.02E-04,5.20E-05,2.09E-05,9.90E-06,0.00010062,4.80E-05,1.89E-05,1.09E-05,3.14E-05,5.13E-05,2.17E-05,8.56E-06,2.50E-05,7.51E-06,9.33E-06,4.51E-06,7.07E-07,2.62E-06,2.20E-06,1.57E-06
1.00E-04,4.82E-05,1.85E-05,9.79E-06,9.67E-05,5.86E-05,2.12E-05,1.01E-05,0.000177875,4.19E-05,1.82E-05,9.91E-06,1.36E-05,8.79E-06,6.82E-06,6.46E-06,3.98E-06,3.60E-07,9.59E-07,1.82E-06
1.23E-04,5.24E-05,1.95E-05,1.04E-05,8.59E-05,4.96E-05,2.16E-05,1.04E-05,4.82E-05,2.99E-05,1.24E-05,1.03E-05,1.53E-05,1.33E-05,4.40E-06,8.75E-06,4.65E-06,6.01E-06,1.56E-06,1.33E-06
1.05E-04,5.18E-05,1.87E-05,9.61E-06,0.00011568,4.55E-05,1.73E-05,9.26E-06,2.24E-05,3.08E-05,1.67E-05,9.99E-06,3.40E-05,3.23E-05,9.85E-06,7.52E-06,1.65E-06,2.70E-06,2.52E-06,9.03E-07
1.15E-04,5.07E-05,2.04E-05,1.00E-05,9.21E-05,4.44E-05,2.02E-05,9.44E-06,3.40E-05,2.86E-05,9.27E-06,9.14E-06,2.49E-05,2.51E-05,2.26E-05,7.14E-06,3.42E-06,4.45E-06,1.28E-06,1.07E-05
9.83E-05,4.68E-05,1.95E-05,9.64E-06,8.51E-05,4.71E-05,2.19E-05,9.33E-06,4.15E-05,2.97E-05,1.46E-05,8.78E-06,2.16E-05,5.37E-05,1.16E-05,8.35E-06,3.51E-06,2.68E-06,1.13E-06,3.18E-06
1.01E-04,4.87E-05,2.08E-05,9.65E-06,9.93E-05,4.59E-05,1.86E-05,1.02E-05,0.000173792,2.34E-05,1.68E-05,1.57E-05,2.48E-05,1.75E-05,1.22E-05,1.19E-05,1.36E-06,2.59E-06,9.90E-07,3.61E-06
9.96E-05,4.77E-05,1.96E-05,9.98E-06,7.88E-05,4.19E-05,2.00E-05,1.00E-05,3.93E-05,2.25E-05,1.07E-05,9.99E-06,7.23E-06,1.14E-05,1.08E-05,8.16E-06,2.73E-06,1.59E-06,6.45E-06,1.04E-05
1.03E-04,4.69E-05,1.94E-05,9.95E-06,0.000510874,5.50E-05,1.93E-05,9.37E-06,0.000115062,3.45E-05,2.52E-05,8.75E-06,8.87E-06,1.47E-05,1.26E-05,7.02E-06,1.06E-06,5.30E-07,1.89E-06,2.19E-06
9.61E-05,4.86E-05,1.99E-05,1.00E-05,8.97E-05,4.25E-05,2.05E-05,1.06E-05,0.000224851,2.55E-05,1.49E-05,1.01E-05,4.08E-05,2.16E-05,9.33E-06,4.21E-06,2.45E-06,2.05E-06,5.25E-06,2.00E-06
9.96E-05,5.15E-05,2.01E-05,1.01E-05,7.72E-05,4.65E-05,2.07E-05,9.26E-06,3.45E-05,5.69E-05,1.37E-05,7.57E-06,1.00E-05,2.63E-05,2.20E-05,1.20E-05,6.96E-06,2.01E-06,5.16E-06,2.99E-06
9.69E-05,4.73E-05,2.03E-05,1.03E-05,9.78E-05,4.48E-05,2.04E-05,1.04E-05,2.72E-05,2.02E-05,1.55E-05,1.17E-05,2.04E-05,3.81E-05,1.88E-05,5.83E-06,1.81E-06,1.01E-06,1.71E-06,7.27E-07
9.72E-05,5.48E-05,2.11E-05,9.47E-06,8.35E-05,5.32E-05,2.12E-05,1.03E-05,3.00E-05,2.10E-05,2.25E-05,1.25E-05,2.76E-05,5.72E-05,6.93E-06,1.16E-05,2.30E-06,1.27E-06,1.40E-06,4.64E-05
1.02E-04,5.10E-05,1.93E-05,1.03E-05,9.76E-05,4.97E-05,2.04E-05,1.04E-05,5.30E-05,1.53E-05,2.08E-05,9.92E-06,2.52E-05,6.13E-06,1.03E-05,7.70E-06,1.89E-05,2.50E-06,9.28E-06,2.39E-06
9.89E-05,4.94E-05,1.97E-05,9.39E-06,6.41E-05,4.90E-05,2.20E-05,1.01E-05,0.000105574,1.98E-05,1.67E-05,7.77E-06,9.60E-06,1.85E-05,2.15E-05,6.23E-06,1.86E-05,2.86E-06,4.04E-06,1.15E-06
9.64E-05,5.13E-05,2.04E-05,1.04E-05,0.000100601,5.08E-05,2.29E-05,1.07E-05,0.001367713,1.63E-05,2.12E-05,6.30E-06,1.79E-05,5.30E-06,9.55E-06,8.80E-06,1.06E-05,1.31E-06,1.47E-06,2.11E-06
1.06E-04,5.08E-05,2.00E-05,9.91E-06,8.18E-05,4.49E-05,1.93E-05,1.04E-05,0.000507459,3.31E-05,1.71E-05,7.44E-06,4.99E-06,1.53E-05,6.95E-06,6.04E-06,2.56E-06,5.83E-06,1.72E-06,4.74E-06
9.84E-05,5.04E-05,1.94E-05,1.02E-05,7.24E-05,4.54E-05,2.01E-05,1.02E-05,5.13E-05,4.27E-05,1.93E-05,6.77E-06,2.19E-05,1.89E-05,1.04E-05,6.18E-06,8.80E-06,1.47E-06,6.22E-06,2.34E-06
9.17E-05,4.93E-05,1.98E-05,9.66E-06,0.000124323,4.87E-05,1.74E-05,1.05E-05,2.75E-05,3.39E-05,1.15E-05,1.25E-05,8.69E-06,5.80E-06,5.31E-06,7.06E-06,3.70E-06,1.59E-06,3.28E-06,3.53E-06
9.53E-05,4.75E-05,2.03E-05,9.93E-06,9.51E-05,5.22E-05,1.92E-05,9.27E-06,1.53E-05,1.96E-05,1.32E-05,8.21E-06,2.19E-05,1.02E-05,1.01E-05,6.22E-06,3.69E-06,7.89E-07,9.48E-07,4.49E-06
