condition_index,replicate_number,final_generation,final_state,initial_size,s,m,q,r,l,idle,final_total_cells,final_sensitive,final_transient,final_resistant,final_n_clones,fraction_sensitive,fraction_transient,fraction_resistant,treatment_schedule,drug_type,doses_given,treatment_active_at_end,total_cell_events,total_driver_mutations,mutation_rate
0,0,361,relapsed,1000,0.08367667124800508,2.7174917484117185e-07,2.5919757618977125e-10,0.0017225997780508594,2.5563492872753744e-11,0.4756094412090811,4006926390,2189193565,16,1817732809,7845,0.5463523289231176,3.993085582987213e-09,0.4536476670837969,off,abs,0,False,91300926785,18945,2.0750063188967003e-07
0,1,354,relapsed,1000,0.08367667124800508,2.7174917484117185e-07,2.5919757618977125e-10,0.0017225997780508594,2.5563492872753744e-11,0.4756094412090811,4049153073,2503227529,106,1545925438,7195,0.6182101500908114,2.6178313856992584e-08,0.3817898237308748,off,abs,0,False,80857794141,16849,2.083781802236489e-07
0,2,361,relapsed,1000,0.08367667124800508,2.7174917484117185e-07,2.5919757618977125e-10,0.0017225997780508594,2.5563492872753744e-11,0.4756094412090811,4095078426,2431622638,6,1663455782,8035,0.5937914699170159,1.4651734047156438e-09,0.40620852861781065,off,abs,0,False,93957069641,19604,2.086484824921084e-07
0,3,359,relapsed,1000,0.08367667124800508,2.7174917484117185e-07,2.5919757618977125e-10,0.0017225997780508594,2.5563492872753744e-11,0.4756094412090811,4066305562,2416284277,17,1650021268,7753,0.5942210294229728,4.1806990991691736e-09,0.4057789663963281,off,abs,0,False,93094885562,19003,2.0412506965642324e-07
0,4,360,relapsed,1000,0.08367667124800508,2.7174917484117185e-07,2.5919757618977125e-10,0.0017225997780508594,2.5563492872753744e-11,0.4756094412090811,4082649323,2457119542,45,1625529736,7911,0.6018443779037252,1.102225453126433e-08,0.39815561107402025,off,abs,0,False,94459321743,19468,2.0609929905030994e-07
0,5,363,relapsed,1000,0.08367667124800508,2.7174917484117185e-07,2.5919757618977125e-10,0.0017225997780508594,2.5563492872753744e-11,0.4756094412090811,4118174265,2255604513,11,1862569741,7786,0.5477195397412353,2.671086576760005e-09,0.4522804575876781,off,abs,0,False,93982427846,19382,2.0623004155371923e-07
0,6,276,relapsed,1000,0.08367667124800508,2.7174917484117185e-07,2.5919757618977125e-10,0.0017225997780508594,2.5563492872753744e-11,0.4756094412090811,4295900085,2966652708,25,1329247352,5814,0.690577678554179,5.81950220101546e-09,0.30942231562631883,off,abs,0,False,52686405001,11004,2.0885843321044852e-07
0,7,359,relapsed,1000,0.08367667124800508,2.7174917484117185e-07,2.5919757618977125e-10,0.0017225997780508594,2.5563492872753744e-11,0.4756094412090811,4038402774,2167628857,42,1870773875,7723,0.5367540035767616,1.04001513346821e-08,0.46324598602308703,off,abs,0,False,93222507783,19143,2.0534740434746067e-07
0,8,353,relapsed,1000,0.08367667124800508,2.7174917484117185e-07,2.5919757618977125e-10,0.0017225997780508594,2.5563492872753744e-11,0.4756094412090811,4206928725,2689796500,6,1517132219,7053,0.6393729667953906,1.4262186008392618e-09,0.3606270317783908,off,abs,0,False,75658963861,15629,2.0657168962442394e-07
0,9,361,relapsed,1000,0.08367667124800508,2.7174917484117185e-07,2.5919757618977125e-10,0.0017225997780508594,2.5563492872753744e-11,0.4756094412090811,4119240816,2311423758,15,1807817043,7998,0.5611285820003392,3.6414477011727107e-09,0.43887141435821314,off,abs,0,False,95087141168,19707,2.0725199809279852e-07
