s_value,q_batch,beta0,beta1,r_squared,n_samples
0.001,1,8.260518320202869e-05,-1.6729927925979655e-09,0.6926528595843018,400
0.001,2,8.724519799440662e-05,-1.7875687730131443e-09,0.2990983113210788,400
0.001,3,5.614275089111352e-05,-1.051944331517554e-09,0.05732985273469593,400
0.001,4,5.4512436614901103e-05,-1.0193199566632663e-09,0.010735441247080368,400
0.001,5,1.2625320292344315e-05,-2.0691527081690718e-10,0.0054461865751461724,400
0.01,1,6.988645612390575e-05,-1.3242303320247707e-09,0.02649200866848067,400
0.01,2,4.913957100009564e-05,-8.904992527736983e-10,0.02616518901243059,400
0.01,3,3.34881512696655e-05,2.389022257561107e-10,4.5460230906235743e-05,400
0.01,4,6.187772054346904e-06,-5.213331584275527e-11,0.0017713171803985794,400
0.01,5,4.860081521056563e-07,4.078651869520188e-11,0.005126475974468692,400
0.1,1,1.4879746160522205e-05,-1.289635296026253e-10,0.0032386769460562848,400
0.1,2,8.569430656285254e-06,-7.993120232176894e-11,0.004378184793472517,400
0.1,3,1.60219596375003e-06,-1.5073233677873505e-11,0.00409480977508192,400
0.1,4,4.639070675125053e-06,-1.0423332360867864e-10,0.002466261612007692,400
0.1,5,5.4155319836503544e-08,1.6318298110428786e-12,0.007375776269990975,400
