K,Id,Parent,ParentType,N,Ns,Nr,Nq,T
0,0,-1,Sens,733939526,62799,619767301,114109426,2489
1114,143,0,S,1319216478,0,1319216478,0,2489
1139,172,0,S,1992953987,0,1992953987,0,2489
1943,31148,0,R,13944155,0,13944155,0,2489
2015,31201,0,R,124342,0,124342,0,2489
2024,31214,0,R,1004262,0,1004262,0,2489
2044,31245,0,R,585963,0,585963,0,2489
2054,31257,0,R,525292,0,525292,0,2489
2054,31258,0,R,1040912,0,1040912,0,2489
2094,31336,0,R,356993,0,356993,0,2489
2097,31344,0,R,118792,0,118792,0,2489
2100,31352,0,R,230239,0,230239,0,2489
2114,31389,0,R,180540,0,180540,0,2489
2114,31391,172,R,7241632,0,7241632,0,2489
2117,31399,0,R,210107,0,210107,0,2489
2140,31490,0,Q,12792,11,0,12781,2489
2144,31510,0,Q,92770,53,0,92717,2489
2151,31540,0,R,97092,0,97092,0,2489
2157,31565,0,R,29631,0,29631,0,2489
2158,31572,0,R,1694,0,1694,0,2489
2159,31578,0,R,4296,0,4296,0,2489
2161,31588,172,R,1024608,0,1024608,0,2489
2164,31596,0,R,12320,0,12320,0,2489
2165,31601,0,Q,19496,13,0,19483,2489
2167,31619,143,R,1457985,0,1457985,0,2489
2168,31628,143,R,26578,0,26578,0,2489
2168,31630,172,R,391331,0,391331,0,2489
2175,31683,0,R,32722,0,32722,0,2489
2180,31723,0,Q,22798,20,0,22778,2489
2181,31739,0,R,1576,0,1576,0,2489
2182,31749,0,R,3475,0,3475,0,2489
2184,31764,0,R,14396,0,14396,0,2489
2188,31809,0,R,8866,0,8866,0,2489
2188,31811,0,R,8454,0,8454,0,2489
2190,31827,0,R,836,0,836,0,2489
2190,31831,172,R,181766,0,181766,0,2489
2191,31839,0,R,18197,0,18197,0,2489
2194,31863,172,R,448028,0,448028,0,2489
2195,31870,0,R,5041,0,5041,0,2489
2196,31881,0,R,6127,0,6127,0,2489
2198,31901,0,R,11610,0,11610,0,2489
2198,31906,0,R,10119,0,10119,0,2489
2204,31961,0,Q,12561,4,0,12557,2489
2204,31972,0,R,10646,0,10646,0,2489
2206,32001,172,R,63988,0,63988,0,2489
2207,32012,172,R,196017,0,196017,0,2489
2210,32027,0,R,594,0,594,0,2489
2210,32033,0,R,87,0,87,0,2489
2214,32066,0,Q,831,0,0,831,2489
2215,32085,143,R,52070,0,52070,0,2489
2215,32087,143,R,57096,0,57096,0,2489
2219,32122,0,R,13513,0,13513,0,2489
2219,32128,0,R,2269,0,2269,0,2489
2220,32137,0,Q,1932,1,0,1931,2489
2224,32204,0,R,1330,0,1330,0,2489
2226,32219,0,Q,7286,0,0,7286,2489
2226,32225,0,R,96,0,96,0,2489
2227,32238,143,R,5687,0,5687,0,2489
2228,32251,0,R,2642,0,2642,0,2489
2230,32282,0,R,17251,0,17251,0,2489
2231,32301,0,R,80,0,80,0,2489
2231,32306,172,R,46175,0,46175,0,2489
2232,32321,143,R,31294,0,31294,0,2489
2234,32340,0,R,1119,0,1119,0,2489
2234,32345,172,R,29975,0,29975,0,2489
2237,32390,0,R,10865,0,10865,0,2489
2238,32405,0,R,2919,0,2919,0,2489
2239,32416,0,R,1761,0,1761,0,2489
2239,32418,0,R,6092,0,6092,0,2489
2240,32433,172,R,103856,0,103856,0,2489
2240,32436,31245,R,15785,0,15785,0,2489
2241,32443,0,R,13146,0,13146,0,2489
2244,32482,0,R,7300,0,7300,0,2489
2244,32484,0,R,1958,0,1958,0,2489
2244,32494,172,R,100663,0,100663,0,2489
2246,32524,0,R,189,0,189,0,2489
2248,32543,0,Q,4906,2,0,4904,2489
2248,32562,0,R,15216,0,15216,0,2489
2248,32565,143,R,129749,0,129749,0,2489
2249,32579,0,R,7704,0,7704,0,2489
2253,32665,0,R,112,0,112,0,2489
2255,32698,0,R,7304,0,7304,0,2489
2255,32711,0,R,713,0,713,0,2489
2256,32732,143,R,5500,0,5500,0,2489
2257,32755,143,R,84837,0,84837,0,2489
2258,32783,172,R,36998,0,36998,0,2489
2261,32840,172,R,14739,0,14739,0,2489
2263,32886,0,R,1496,0,1496,0,2489
2267,32969,0,R,2565,0,2565,0,2489
2269,33018,172,R,25261,0,25261,0,2489
2271,33066,172,R,17541,0,17541,0,2489
2272,33068,0,Q,772,0,0,772,2489
2272,33075,0,R,1696,0,1696,0,2489
2272,33076,0,R,709,0,709,0,2489
2273,33107,0,R,1561,0,1561,0,2489
2273,33120,143,R,23046,0,23046,0,2489
2275,33181,0,R,1457,0,1457,0,2489
2275,33189,172,R,3006,0,3006,0,2489
2276,33212,143,R,6882,0,6882,0,2489
2277,33219,0,Q,1447,0,0,1447,2489
2277,33220,0,Q,527,0,0,527,2489
2278,33272,172,R,48463,0,48463,0,2489
2279,33303,172,R,6374,0,6374,0,2489
2281,33346,0,R,1897,0,1897,0,2489
2281,33353,172,R,20432,0,20432,0,2489
2282,33365,0,R,260,0,260,0,2489
2282,33373,0,R,1626,0,1626,0,2489
2282,33383,172,R,16920,0,16920,0,2489
2283,33399,0,R,5274,0,5274,0,2489
2283,33412,172,R,38814,0,38814,0,2489
2284,33424,0,R,281,0,281,0,2489
2284,33447,172,R,13187,0,13187,0,2489
2284,33449,172,R,3775,0,3775,0,2489
2285,33457,0,R,1855,0,1855,0,2489
2285,33464,0,R,554,0,554,0,2489
