K,Id,Parent,ParentType,N,Ns,Nr,Nq,T
0,0,-1,Sens,1367903545,1367750355,0,153190,15721
7209,235,0,S,1402672982,1402546447,0,126535,15721
7843,455,0,S,64232672,64222861,0,9811,15721
8267,642,0,S,330538431,330509195,0,29236,15721
8339,681,0,S,67663921,67658424,0,5497,15721
8456,751,0,S,13409633,13409071,0,562,15721
9107,1313,0,S,2533760,2533680,0,80,15721
9123,1337,0,S,35637766,35635947,0,1819,15721
9528,1880,0,S,45873198,45871098,0,2100,15721
9680,2157,0,S,14128942,14127070,0,1872,15721
9697,2191,0,S,11573931,11573574,0,357,15721
9848,2475,0,S,1985280,1985076,0,204,15721
9978,2782,0,S,614924,614912,0,12,15721
10021,2904,0,S,623226,623204,0,22,15721
10082,3056,0,S,3422847,3422814,0,33,15721
10158,3267,0,S,1103673,1102840,0,833,15721
10159,3271,0,S,5246384,5246154,0,230,15721
10162,3279,0,S,3593097,3592974,0,123,15721
10198,3394,0,S,1823976,1823976,0,0,15721
10277,3618,0,S,1064136,1064136,0,0,15721
10356,3896,0,S,3078603,3078601,0,2,15721
10449,4237,0,S,1797193,1797187,0,6,15721
10449,4241,235,S,538577999,538541892,0,36107,15721
10469,4320,0,S,846034,846004,0,30,15721
10480,4354,0,S,4370429,4370038,0,391,15721
10503,4461,0,S,281817,281749,0,68,15721
10551,4646,0,S,9176534,9176399,0,135,15721
10558,4672,0,S,2171431,2171429,0,2,15721
10567,4707,0,S,3595621,3595388,0,233,15721
10646,5036,0,S,155640,155640,0,0,15721
10794,5732,0,S,3157090,3157053,0,37,15721
10834,5950,0,S,2700748,2700737,0,11,15721
10898,6319,0,S,693332,693332,0,0,15721
10970,6723,0,S,2550517,2550517,0,0,15721
11025,7067,0,S,224699,224699,0,0,15721
11070,7355,0,S,356420,356403,0,17,15721
11081,7432,0,S,273961,273961,0,0,15721
11095,7520,0,S,1238139,1238139,0,0,15721
11098,7546,0,S,175207,174871,0,336,15721
11123,7710,0,S,528659,528540,0,119,15721
11158,7937,0,S,459554,459554,0,0,15721
11188,8167,0,S,657864,657831,0,33,15721
11195,8233,0,S,2374071,2373982,0,89,15721
11216,8400,0,S,402330,402330,0,0,15721
11223,8462,0,S,82778,82778,0,0,15721
11225,8480,0,S,286731,286731,0,0,15721
11226,8485,0,S,635697,635695,0,2,15721
11228,8514,0,S,192605,192605,0,0,15721
11245,8667,0,S,59054,59054,0,0,15721
11295,9055,0,S,320009,320009,0,0,15721
11299,9093,0,S,907431,907422,0,9,15721
11358,9596,0,S,15328,15328,0,0,15721
11397,9951,0,S,333871,333871,0,0,15721
11422,10193,0,S,1781744,1781676,0,68,15721
11446,10435,0,S,1261017,1261017,0,0,15721
11519,11139,0,S,123777,123777,0,0,15721
11558,11542,0,S,134606,134606,0,0,15721
11613,12148,0,S,19313,19313,0,0,15721
11652,12629,0,S,686404,686323,0,81,15721
11652,12637,0,S,1216475,1216438,0,37,15721
11669,12817,0,S,224825,224825,0,0,15721
11712,13338,0,S,232124,232124,0,0,15721
11735,13608,0,S,468116,468113,0,3,15721
11759,13934,0,S,46042,46042,0,0,15721
11777,14121,0,S,345750,345750,0,0,15721
11815,14591,0,S,128960,128960,0,0,15721
11826,14732,0,S,107041,107041,0,0,15721
11827,14755,0,S,4997,4997,0,0,15721
11912,16008,235,S,1636779,1636776,0,3,15721
11914,16022,0,S,327477,327477,0,0,15721
11946,16441,0,S,153146,153146,0,0,15721
11980,16922,0,S,95596,95575,0,21,15721
11991,17087,0,S,167401,167401,0,0,15721
11998,17218,0,S,101691,101691,0,0,15721
12016,17520,0,S,240928,240928,0,0,15721
12053,18176,0,S,143549,143549,0,0,15721
12061,18288,0,S,165243,165243,0,0,15721
12127,19464,0,S,93818,93818,0,0,15721
12168,20219,0,S,132222,132222,0,0,15721
12176,20350,0,S,81139,81139,0,0,15721
12183,20459,0,S,50691,50683,0,8,15721
12184,20498,0,S,67852,67852,0,0,15721
12189,20583,235,S,1463220,1462949,0,271,15721
12249,21757,0,S,65313,65313,0,0,15721
12249,21758,0,S,37595,37595,0,0,15721
12266,22099,0,S,16225,16225,0,0,15721
12291,22606,0,S,255328,255328,0,0,15721
12295,22692,0,S,49024,49024,0,0,15721
12315,23131,0,S,231449,231449,0,0,15721
12331,23490,0,S,97139,97139,0,0,15721
12363,24218,0,S,385531,385531,0,0,15721
12377,24537,0,S,55800,55800,0,0,15721
12384,24681,0,S,103961,103961,0,0,15721
12384,24699,0,S,208781,208781,0,0,15721
12389,24793,0,S,215068,215068,0,0,15721
12394,24924,0,S,111660,111660,0,0,15721
12404,25174,0,S,5419,5419,0,0,15721
12410,25311,235,S,470180,470161,0,19,15721
12423,25605,0,S,100522,100522,0,0,15721
12429,25726,0,S,50469,50365,0,104,15721
12444,26078,0,S,65751,65751,0,0,15721
12445,26090,0,S,15739,15739,0,0,15721
12459,26443,235,S,2024863,2024859,0,4,15721
12462,26494,0,S,234148,234148,0,0,15721
12462,26509,0,S,85292,85292,0,0,15721
12479,26947,0,S,10796,10796,0,0,15721
12503,27540,0,S,7545,7545,0,0,15721
12518,27945,0,S,2209,2209,0,0,15721
12523,28077,0,S,60099,60099,0,0,15721
12525,28125,0,S,39086,39086,0,0,15721
12536,28436,235,S,403978,403978,0,0,15721
12539,28495,0,S,51899,51899,0,0,15721
12540,28561,235,S,1126099,1126003,0,96,15721
12543,28628,0,S,103469,103469,0,0,15721
12544,28655,0,S,3645,3645,0,0,15721
12546,28717,0,S,133094,133094,0,0,15721
