SPR,PQR,primary_metric_file1,primary_metric_file2
2.5,-5.0,0.0010098211468416,0.0041342313636363
2.5,-4.75,0.001294485894764,0.005247150267242
2.5,-4.5,0.0018439413667827,0.0067575023262563
2.5,-4.25,0.0024483851633102,0.0085712840476836
2.5,-4.0,0.0031510436701202,0.0108104405860823
2.5,-3.75,0.0036913210136709,0.0139019287607348
2.5,-3.5,0.0051222821176821,0.0177612112926813
2.5,-3.25,0.0066101971868098,0.0225584557073048
2.5,-3.0,0.0081453759894586,0.0283615987606398
2.5,-2.75,0.0093080534758036,0.0354085338300772
2.5,-2.5,0.0114915432484743,0.0449036017023183
2.5,-2.25,0.0161251897316326,0.0556109367395087
2.5,-2.0,0.0162136257759739,0.0691358838079525
2.5,-1.75,0.0205734341913902,0.0835290009125218
2.5,-1.5,0.023683929808959,0.1007672232751401
2.5,-1.25,0.0265706776547018,0.1185175029113358
2.5,-1.0,0.0269743575973323,0.1412213321475626
2.5,-0.75,0.0296759784659122,0.1576693438840449
2.5,-0.5,0.0273734953937281,0.1672257024311473
2.5,-0.25,0.0232786386692163,0.1882111734216771
2.5,0.0,0.0182538244146857,0.2058462737214418
2.75,-5.0,0.0016313251056368,0.0046356895580789
2.75,-4.75,0.002023958322828,0.0060184314138345
2.75,-4.5,0.0028850184384775,0.0077087457331616
2.75,-4.25,0.0043227160735629,0.0098230598560852
2.75,-4.0,0.0045273843815474,0.0125193363759308
2.75,-3.75,0.00644079972373,0.0160048971410633
2.75,-3.5,0.0070970271947657,0.0204855222985934
2.75,-3.25,0.0106765560589417,0.0258840827542842
2.75,-3.0,0.0121382286260987,0.0328490121198293
2.75,-2.75,0.0145424288060068,0.0412039773065941
2.75,-2.5,0.018878341015195,0.0520296964188834
2.75,-2.25,0.0236584344221187,0.0648093355322954
2.75,-2.0,0.0286772136276147,0.0822334152606772
2.75,-1.75,0.0339006943925629,0.0994782275276127
2.75,-1.5,0.0390877163364064,0.1198687355678355
2.75,-1.25,0.0461766930836088,0.1432387200528591
2.75,-1.0,0.051592616609,0.1688792304036532
2.75,-0.75,0.0536887349006689,0.1948706444358655
2.75,-0.5,0.0544132866761695,0.2171834268008646
2.75,-0.25,0.0531472569671964,0.2386668947066816
2.75,0.0,0.0468360406086417,0.2506805680387014
2.75,0.25,0.038786995922186,0.2591616837179153
3.0,-5.0,0.0024985197281576,0.0051997975356848
3.0,-4.75,0.0033859255173508,0.0064161969046066
3.0,-4.5,0.0039066983699568,0.0085376747197374
3.0,-4.25,0.0058185038284698,0.0107312430294013
3.0,-4.0,0.0071600253586511,0.0138419108077861
3.0,-3.75,0.0085243263215396,0.0177622086350736
3.0,-3.5,0.0104129588470989,0.0223752932353883
3.0,-3.25,0.0132098029796787,0.028454103217858
3.0,-3.0,0.0160681229153796,0.0360202044673062
3.0,-2.75,0.0210294176331206,0.0455436443195329
3.0,-2.5,0.027442859261382,0.0575714185860526
3.0,-2.25,0.0349957154889248,0.0720972623467914
3.0,-2.0,0.0423513863112478,0.0891354016841051
3.0,-1.75,0.0472253878747135,0.110191761329837
3.0,-1.5,0.0642372663166057,0.1340114018664255
3.0,-1.25,0.0662309977890453,0.1622862834833149
3.0,-1.0,0.0800117551174172,0.1924118822237852
3.0,-0.75,0.0909047561970452,0.2256465623753993
3.0,-0.5,0.095511093304882,0.2623940987570737
3.0,-0.25,0.0977802174519884,0.2922719614523771
3.0,0.0,0.1006972001772861,0.3158465942115958
3.0,0.25,0.0809569162013949,0.3421065368669598
3.0,0.5,0.0723562080968692,0.3461880292684395
3.25,-5.0,0.0027796515808256,0.0054951516576188
3.25,-4.75,0.0037711737586462,0.0070858127116971
3.25,-4.5,0.0045440505599554,0.0089989497001177
3.25,-4.25,0.0064407103376252,0.0116889555951415
3.25,-4.0,0.0080365463515151,0.0148485189171624
3.25,-3.75,0.0104201002358407,0.0188029723749735
3.25,-3.5,0.0124336170782494,0.0241866456265757
3.25,-3.25,0.0155345971570346,0.0306619760046643
3.25,-3.0,0.0231104498981592,0.0387475437598219
3.25,-2.75,0.0256484432531316,0.0493383585153764
3.25,-2.5,0.0376154457907937,0.0616154149834667
3.25,-2.25,0.0436119999739957,0.0775848778321124
3.25,-2.0,0.0554343972274699,0.0963637169887653
3.25,-1.75,0.0650655866348249,0.1190973278639375
3.25,-1.5,0.0797120849248678,0.1457108683881484
3.25,-1.25,0.0955221172084728,0.1777314569621166
3.25,-1.0,0.1104954753600472,0.2106774525681349
3.25,-0.75,0.1257859565909429,0.2485441008061646
3.25,-0.5,0.1359119251945147,0.2888983513491604
3.25,-0.25,0.1438529026732184,0.3271023458483473
3.25,0.0,0.1508786988418731,0.3651695268431646
3.25,0.25,0.1469037168942052,0.3982803436806064
3.25,0.5,0.1347391480654893,0.4211100301911757
3.25,0.75,0.1123503796810436,0.4332083216908354
3.5,-5.0,0.0034778032385054,0.0057543019182684
3.5,-4.75,0.0047608196882923,0.0073956974380334
3.5,-4.5,0.0050424359851592,0.0095135900180947
3.5,-4.25,0.0081849349840125,0.0120446302581742
3.5,-4.0,0.0104567616460153,0.0156279414194939
3.5,-3.75,0.0127653598460777,0.0196151426681263
3.5,-3.5,0.0167511090538516,0.0250055703634728
3.5,-3.25,0.0205364288343049,0.0324938963091369
3.5,-3.0,0.0255658989459225,0.0410150496180274
3.5,-2.75,0.0337822058803525,0.0513005560717179
3.5,-2.5,0.0436230826892295,0.064963844478096
3.5,-2.25,0.0578288968900128,0.0814910094384245
3.5,-2.0,0.0646334586417662,0.1020365611056043
3.5,-1.75,0.0779142115735814,0.1265344117553238
3.5,-1.5,0.0962657510473383,0.154475634762321
3.5,-1.25,0.1139086246114165,0.1874928602704992
3.5,-1.0,0.1414137963293041,0.2251061389853321
3.5,-0.75,0.1611969021754011,0.266007608126987
3.5,-0.5,0.1753703653693107,0.310596363740812
3.5,-0.25,0.1972677678615621,0.3554002449045807
3.5,0.0,0.2180085902082841,0.3997728335452842
3.5,0.25,0.2109151276677981,0.4417037945640859
3.5,0.5,0.2114192120118692,0.4773733946694977
3.5,0.75,0.1974860992946473,0.499689865167907
3.5,1.0,0.1546358112404678,0.517663153997368
3.75,-5.0,0.0036200221420157,0.0058753531609434
3.75,-4.75,0.0045200965342116,0.0077074415752817
3.75,-4.5,0.0058547846943818,0.0097046718848358
3.75,-4.25,0.0074803498690148,0.0125825899194257
3.75,-4.0,0.0129424474838982,0.0160129778540608
3.75,-3.75,0.0151986851251716,0.0202454838937344
3.75,-3.5,0.0175276439678694,0.0263635545902416
3.75,-3.25,0.0230477556312795,0.0332704957670052
3.75,-3.0,0.0312152284567141,0.0424721214284183
3.75,-2.75,0.0374711921920069,0.0541162323666046
3.75,-2.5,0.0531693125745146,0.0673754987217564
3.75,-2.25,0.0570285333323048,0.0847830525667285
3.75,-2.0,0.0697447824945208,0.1056649263636756
3.75,-1.75,0.0932301016721804,0.131266463968302
3.75,-1.5,0.1067718850129423,0.1608311873123704
3.75,-1.25,0.1280999404706753,0.1962619204781642
3.75,-1.0,0.1520596787226902,0.2354104959451713
3.75,-0.75,0.1887758912336372,0.2783073601327185
3.75,-0.5,0.2133219746269181,0.3254319040093784
3.75,-0.25,0.2418062626927795,0.3754415429588812
3.75,0.0,0.2695708549586234,0.4252504517363156
3.75,0.25,0.2850634468883241,0.4721333883649064
3.75,0.5,0.2853226468355797,0.5146566085383492
3.75,0.75,0.2709053522767736,0.551883681094632
3.75,1.0,0.2723193185266765,0.5802099310658595
3.75,1.25,0.2281114818795167,0.5951626936170459
4.0,-5.0,0.0037982052943632,0.0061177988616486
4.0,-4.75,0.0050082253726299,0.007831453881851
4.0,-4.5,0.0072657193751027,0.0102262259962531
4.0,-4.25,0.0099158348394248,0.0127811315599478
4.0,-4.0,0.0117400617356457,0.0164226069390067
4.0,-3.75,0.0163882630831639,0.0212258835856737
4.0,-3.5,0.0208741119333469,0.0268365625366983
4.0,-3.25,0.0243031700712151,0.0342231351837926
4.0,-3.0,0.0310391049780807,0.0432856183198385
4.0,-2.75,0.0379375551029166,0.0549229571614658
4.0,-2.5,0.0499975098875534,0.0688721136781824
4.0,-2.25,0.0643867328654811,0.087369808697105
4.0,-2.0,0.0846794644071704,0.1089848115508186
4.0,-1.75,0.1022556251553256,0.1353164952549619
4.0,-1.5,0.1222184734138851,0.1656666691988549
4.0,-1.25,0.1568751838630412,0.2019477101715895
4.0,-1.0,0.1882116353558406,0.2419718324250947
4.0,-0.75,0.2080384899171692,0.2876748702006904
4.0,-0.5,0.2498501197854697,0.3389628559347795
4.0,-0.25,0.2853816608402222,0.3902824805179443
4.0,0.0,0.3114883589711762,0.4425755423759799
4.0,0.25,0.3390867110316204,0.4941988388806816
4.0,0.5,0.3593602760615407,0.5418513982028925
4.0,0.75,0.3723636024384336,0.5850603138546822
4.0,1.0,0.3616885237579981,0.620026939015552
4.0,1.25,0.3502949661609893,0.647528332282495
4.0,1.5,0.2869499460328515,0.6680618431272602
4.25,-5.0,0.0041486608248759,0.0062270811555989
4.25,-4.75,0.0054578162081015,0.0080901616198222
4.25,-4.5,0.0072523479696768,0.010182908688207
4.25,-4.25,0.0095424902,0.0130030165931385
4.25,-4.0,0.0119743661071901,0.0168751569387245
4.25,-3.75,0.0151914286739307,0.0213617673866197
4.25,-3.5,0.0215258848318447,0.0271863024125611
4.25,-3.25,0.0277981395510612,0.0349510618695741
4.25,-3.0,0.0335557932062784,0.0442307802821294
4.25,-2.75,0.0409561534218035,0.056277421975956
4.25,-2.5,0.0513421730456382,0.0709712138292382
4.25,-2.25,0.0709638704886219,0.0888812055214159
4.25,-2.0,0.0933119331120174,0.1119318349600257
4.25,-1.75,0.1224554731955771,0.1377120222792263
4.25,-1.5,0.1320388107851705,0.1695172156358381
4.25,-1.25,0.1627754310663144,0.2060934545952616
4.25,-1.0,0.1924942860676861,0.2501052754069963
4.25,-0.75,0.2237676300964449,0.2956893930426929
4.25,-0.5,0.285450372226011,0.3474587346439839
4.25,-0.25,0.30156377662366,0.4009535480002849
4.25,0.0,0.3456454361034739,0.4557813322112584
4.25,0.25,0.3822175457507771,0.510143624557017
4.25,0.5,0.4257498037696396,0.5622214371568801
4.25,0.75,0.4322543799744617,0.6097724459347197
4.25,1.0,0.4447325947926907,0.6503819802415218
4.25,1.25,0.4329085286580966,0.6851729725909641
4.25,1.5,0.4168228368717628,0.7085996902924775
4.25,1.75,0.3949029325850124,0.723483591319079
4.5,-5.0,0.0051246332028213,0.0064184106210902
4.5,-4.75,0.0058390337488337,0.0081716221452311
4.5,-4.5,0.0072557208110995,0.0104945523219454
4.5,-4.25,0.0096243881229841,0.0132053838914753
4.5,-4.0,0.0126101001171516,0.0169364887439871
4.5,-3.75,0.0184764659211349,0.0218922303651856
4.5,-3.5,0.0241002681575101,0.0280705147552894
4.5,-3.25,0.0315147606181802,0.0354300829524993
4.5,-3.0,0.0340996445180817,0.044986411887289
4.5,-2.75,0.0526534006001176,0.056624099235986
4.5,-2.5,0.0559156866251245,0.0721529279950125
4.5,-2.25,0.0715736780889764,0.0910733030482761
4.5,-2.0,0.0988168395477208,0.1133029312128903
4.5,-1.75,0.1193216671286387,0.140149798689553
4.5,-1.5,0.1350053588855981,0.1723962223397037
4.5,-1.25,0.1799819580005379,0.2095701960565734
4.5,-1.0,0.2134463265106699,0.2536792724915558
4.5,-0.75,0.2496452840564828,0.3006818459376578
4.5,-0.5,0.2924428227866037,0.3534123646367395
4.5,-0.25,0.3558893516531266,0.4089583141184197
4.5,0.0,0.3898058082021822,0.4663106352740459
4.5,0.25,0.4156143886311998,0.5236856227375305
4.5,0.5,0.4671510346510607,0.5767546797753287
4.5,0.75,0.510072935269122,0.6271350958744235
4.5,1.0,0.5382798619672987,0.6716706427816851
4.5,1.25,0.5249791522514133,0.7096190176235024
4.5,1.5,0.538967137242047,0.7406063887212321
4.5,1.75,0.5200732937587105,0.7632960041614667
4.5,2.0,0.4601442536014063,0.7796457327478714
4.75,-5.0,0.0045171898601971,0.0063429869645177
4.75,-4.75,0.0054565698538104,0.0083370006224148
4.75,-4.5,0.007836844542319,0.0103698256248373
4.75,-4.25,0.0107519064522112,0.0133972955314588
4.75,-4.0,0.0146063571352756,0.0172086087064077
4.75,-3.75,0.0187136294173751,0.0221417743168702
4.75,-3.5,0.0208752933985306,0.0280950615125039
4.75,-3.25,0.0294925919321582,0.0361738821652673
4.75,-3.0,0.0353720908494646,0.0452615285669795
4.75,-2.75,0.042989442780978,0.05772156945075
4.75,-2.5,0.0626775927067174,0.0724580260770674
4.75,-2.25,0.0715310469349883,0.0919330614568167
4.75,-2.0,0.0989500279667759,0.1141184970043395
4.75,-1.75,0.1275782345099736,0.1414138643867186
4.75,-1.5,0.1389946384852546,0.1734399018801186
4.75,-1.25,0.1875768054555051,0.2132073291627217
4.75,-1.0,0.2167444573173272,0.2564877894355931
4.75,-0.75,0.266910417901833,0.3055313498820524
4.75,-0.5,0.3135998878422351,0.3586416262830347
4.75,-0.25,0.3587830356117086,0.4157904299550387
4.75,0.0,0.3918913358090123,0.4737369911420312
4.75,0.25,0.4627925255126369,0.53116403397446
4.75,0.5,0.516159356688499,0.5874211735788447
4.75,0.75,0.5273637314854955,0.6369955954929384
4.75,1.0,0.5636605372251366,0.6873748594406484
4.75,1.25,0.5990819463414689,0.7260884326210167
4.75,1.5,0.5921414831694048,0.7601753262489589
4.75,1.75,0.5985259838468816,0.7882784113551371
4.75,2.0,0.5852640196244072,0.8068968521491936
4.75,2.25,0.5610352878545375,0.820032614568069
5.0,-5.0,0.0042161566064322,0.0064360636141154
5.0,-4.75,0.0070517334134133,0.0082932434405013
5.0,-4.5,0.0072827032487612,0.0106581110552378
5.0,-4.25,0.0109772541842179,0.013376381349414
5.0,-4.0,0.0163047643487468,0.0173848745794233
5.0,-3.75,0.0190625089360086,0.0222613264341225
5.0,-3.5,0.0212884713994028,0.0282167979608212
5.0,-3.25,0.0348886494441797,0.0360801821566659
5.0,-3.0,0.0364711400823856,0.0459298831979895
5.0,-2.75,0.0525395983685777,0.058269294721654
5.0,-2.5,0.0604665644982224,0.0732179109148943
5.0,-2.25,0.078406045665837,0.0917610832569353
5.0,-2.0,0.0945046192586877,0.1146420061378564
5.0,-1.75,0.1397449044510532,0.1443654612257413
5.0,-1.5,0.1604876644924377,0.1769066150931237
5.0,-1.25,0.198004620980389,0.2153512387470258
5.0,-1.0,0.2325938040161781,0.2587566861820263
5.0,-0.75,0.2719296872124731,0.3090688835961012
5.0,-0.5,0.3217496766412187,0.362542373980908
5.0,-0.25,0.3832563660709113,0.4217420833770357
5.0,0.0,0.4201910818428713,0.4801871003145589
5.0,0.25,0.4875989268770744,0.5382895314019918
5.0,0.5,0.5243479561050722,0.5947511658879578
5.0,0.75,0.5768667715678062,0.6478476397615639
5.0,1.0,0.5968531234264157,0.6972499628551938
5.0,1.25,0.6314475758744721,0.7394360649486378
5.0,1.5,0.6692529775090252,0.775522309305101
5.0,1.75,0.6867443916433831,0.8052184870618848
5.0,2.0,0.6664171608958205,0.8292676702487974
5.0,2.25,0.6296931606990357,0.8458554260363668
5.0,2.5,0.6047076881299702,0.8558506082708166
5.25,-5.0,0.0054163191323158,0.0066585721990988
5.25,-4.75,0.0075180561746364,0.0083484183341939
5.25,-4.5,0.0102959405586173,0.0108107907795771
5.25,-4.25,0.0095904209792457,0.0138767895238656
5.25,-4.0,0.0130098140454328,0.0174788313421044
5.25,-3.75,0.0234387333201878,0.0224399540085534
5.25,-3.5,0.0202427631306279,0.0285370670537243
5.25,-3.25,0.0289781326651995,0.0365360571417775
5.25,-3.0,0.0421424989878653,0.0460543456434192
5.25,-2.75,0.0551137036759677,0.0585240623265623
5.25,-2.5,0.0635674727907816,0.0738055497927439
5.25,-2.25,0.0913348702255625,0.0936137397965966
5.25,-2.0,0.1036782883907704,0.1157441826818661
5.25,-1.75,0.1222110081824481,0.1443684696355458
5.25,-1.5,0.1514911443596649,0.1786984218853418
5.25,-1.25,0.1925513182458776,0.2151627192517476
5.25,-1.0,0.228554888144377,0.2615781747390385
5.25,-0.75,0.315485556722147,0.3119816539433178
5.25,-0.5,0.3381446367607134,0.3657534240185272
5.25,-0.25,0.384379293183204,0.4240605492570477
5.25,0.0,0.4588730686214021,0.4850089479355008
5.25,0.25,0.522087303314525,0.5437068919792502
5.25,0.5,0.5394079800931535,0.6040402306488233
5.25,0.75,0.604248218972745,0.6551120061436583
5.25,1.0,0.6378164317905249,0.7049756429541574
5.25,1.25,0.654294785928078,0.7484494170534928
5.25,1.5,0.6950899301412956,0.7848001348710351
5.25,1.75,0.712815182076206,0.818199037591502
5.25,2.0,0.7352379470171626,0.8423096330696604
5.25,2.25,0.7371244950761345,0.8627007880313036
5.25,2.5,0.7161995951021568,0.8773083114703843
5.25,2.75,0.6783209992453478,0.8851601338305238
5.5,-5.0,0.0041962487978056,0.0066707975967817
5.5,-4.75,0.0060240323355772,0.008272701748861
5.5,-4.5,0.0080237716540585,0.0105901916086557
5.5,-4.25,0.0125132693784698,0.0138198305039195
5.5,-4.0,0.0133516668492024,0.0176369713276465
5.5,-3.75,0.0187002143727248,0.0223992047876823
5.5,-3.5,0.0223983544222369,0.0282878716966435
5.5,-3.25,0.0307566914015912,0.0369418168428929
5.5,-3.0,0.0415735094525041,0.0466551866545034
5.5,-2.75,0.0486805563641983,0.0583183141293857
5.5,-2.5,0.0611560004726749,0.0745876206209581
5.5,-2.25,0.0812890173908922,0.092835542710715
5.5,-2.0,0.0999642268872492,0.1195398403544995
5.5,-1.75,0.1364583221807956,0.145073509622806
