SPR,SPQ,s,Pq,Pr,l,m,median_total_cells,median_resistant_cells,median_transient_cells,median_total_resistant_cells,resistant_fraction,total_resistant_fraction,primary_metric,final_state,num_replicates,replicate_1_primary_metric,replicate_2_primary_metric,replicate_3_primary_metric,replicate_4_primary_metric,replicate_5_primary_metric,replicate_6_primary_metric,replicate_7_primary_metric,replicate_8_primary_metric,replicate_9_primary_metric,replicate_10_primary_metric
2.5,2.5,0.1,0.00820849986238988,0.00820849986238988,0.00820849986238988,5.714285714285714e-07,4091438954.0,1959688813.5,402850447.0,2362539260.5,0.4789730057157783,0.5774348064487828,0.5774348064487828,relapsed,10,0.5745698045936171,0.57733957838896,0.32006545110577983,0.5315253200328084,0.6037608454789342,0.6122841488293356,0.5975988854869407,0.5756166144873185,0.5339049561558765,0.4288117283506884
2.5,2.75,0.1,0.006392786120670757,0.00820849986238988,0.006392786120670757,5.714285714285714e-07,4144695948.0,1824861298.0,376733230.5,2201594528.5,0.4402883398191312,0.5311836033623569,0.5311836033623569,relapsed,10,0.5419206486733836,0.48991065673574136,0.5239517283354681,0.5417418917866429,0.5281355318475206,0.47841632533761336,0.5393368459953083,0.546688039261395,0.46893207195923875,0.5396059895562778
2.5,3.0,0.1,0.004978706836786395,0.00820849986238988,0.004978706836786395,5.714285714285714e-07,4105894692.5,1624897619.0,324439603.0,1949337222.0,0.39574751441338873,0.4747655183560215,0.4747655183560215,relapsed,10,0.4728527843684937,0.48365390192647206,0.38704373691081967,0.2555429610798419,0.476747945444327,0.49008873669530034,0.4868705967121968,0.42280009682268294,0.39674874886595113,0.4738950693022843
2.5,3.25,0.1,0.003877420783172201,0.00820849986238988,0.003877420783172201,5.714285714285714e-07,4116578565.0,1529895785.5,270280948.0,1800176733.5,0.37164255736729757,0.4372992535124858,0.4372992535124858,relapsed,10,0.27136870285745135,0.38251487541201745,0.32813261720464504,0.35943899515427685,0.4478254156231204,0.4464225457502285,0.43893509371860767,0.4476333497919236,0.44260852897634384,0.447182737473147
2.5,3.5,0.1,0.0030197383422318506,0.00820849986238988,0.0030197383422318506,5.714285714285714e-07,4244339432.5,1310160217.5,215014498.5,1525174716.0,0.3086841281985521,0.3593432476962951,0.3593432476962951,relapsed,10,0.4373132323737105,0.24644962859190983,0.32332027405964975,0.26138879979012447,0.40901752407301295,0.3056252040731017,0.3859650630765502,0.3864885253249326,0.40658347806623374,0.3682996476637858
2.5,3.75,0.1,0.002351774585600911,0.00820849986238988,0.002351774585600911,5.714285714285714e-07,4137804883.5,1375284794.0,182149977.0,1557434771.0,0.3323706246962285,0.3763915445144503,0.3763915445144503,relapsed,10,0.3460905944666709,0.3825914312049931,0.38025147329650183,0.3824097745877389,0.3860781961691095,0.37158495467808667,0.30423162209670895,0.3598954325772624,0.39107137556784705,0.2021331817036231
2.5,4.0,0.1,0.0018315638888734183,0.00820849986238988,0.0018315638888734183,5.714285714285714e-07,4175629170.0,1345820342.0,148133386.5,1493953728.5,0.3223036067640077,0.35777931125526646,0.35777931125526646,relapsed,10,0.3655722134916992,0.36734768951584473,0.296120505047693,0.35135533618133397,0.28908572717012304,0.35045478839542593,0.3644932212611365,0.25731920139001724,0.3670804723580978,0.36217062985091875
2.5,4.25,0.1,0.0014264233908999257,0.00820849986238988,0.0014264233908999257,5.714285714285714e-07,4173148139.0,1262742170.0,115126907.0,1377869077.0,0.30258742990671483,0.33017497369028814,0.33017497369028814,relapsed,10,0.32439173743488225,0.34485955189092654,0.3444658916691149,0.2904498190152252,0.33945615347467223,0.2823461712865708,0.33493979805103286,0.34725781230925334,0.2728668017750344,0.324897406373338
2.5,4.5,0.1,0.0011108996538242307,0.00820849986238988,0.0011108996538242307,5.714285714285714e-07,4191390851.0,1289704362.0,93336999.5,1383041361.5,0.3077031963488437,0.3299719378759507,0.3299719378759507,relapsed,10,0.3346870002360479,0.33522490451086223,0.33670517268538863,0.3348144690806045,0.3345116588812168,0.3327508982107141,0.19307718766684245,0.2698489367210792,0.3338043624904267,0.30159103000810356
2.5,4.75,0.1,0.0008651695203120635,0.00820849986238988,0.0008651695203120635,5.714285714285714e-07,4099317040.5,1224593687.0,72270134.5,1296863821.5,0.2987311483599313,0.3163609471254313,0.3163609471254313,relapsed,10,0.32374893601281973,0.31929781571649213,0.3238527932866877,0.32431574620091175,0.27748299860070386,0.27436358164558183,0.3170534501409159,0.31418001660951034,0.3231245101046663,0.3230649473873382
