SPR,PQR,s,Pq,Pr,l,m,median_total_cells,median_resistant_cells,median_transient_cells,median_total_resistant_cells,resistant_fraction,total_resistant_fraction,primary_metric,final_state,num_replicates,replicate_1_primary_metric,replicate_2_primary_metric,replicate_3_primary_metric,replicate_4_primary_metric,replicate_5_primary_metric,replicate_6_primary_metric,replicate_7_primary_metric,replicate_8_primary_metric,replicate_9_primary_metric,replicate_10_primary_metric
2.5,-5.0,0.1,5.5308437014783356e-05,0.00820849986238988,5.5308437014783356e-05,5.714285714285714e-07,4292878339.5,4286447842.0,4571101.0,4291018943.0,0.9985020545677171,0.9995668648508179,0.0010652716897129764,relapsed,10,0.001097670774248794,0.0011995725931152783,0.001032744200219557,0.0009924483013605077,0.0028562146999272053,0.0007983256341458333,0.0025654641192933507,0.0007409919241455834,0.001540292197670189,0.0008746294314739871
2.5,-4.75,0.1,7.101743888425491e-05,0.00820849986238988,7.101743888425491e-05,5.714285714285714e-07,4067556472.0,4058918061.0,5526866.0,4064444927.0,0.9978762652566806,0.9992350333618183,0.001359808313131561,relapsed,10,0.0014523768686131749,0.0019463447452548943,0.0010448196560047258,0.001409316821722746,0.0012654858381958923,0.0011552731538664112,0.0018353414958455839,0.0012161009172500397,0.0011633654975315908,0.001910392455402111
2.5,-4.5,0.1,9.118819655545161e-05,0.00820849986238988,9.118819655545161e-05,5.714285714285714e-07,4206416025.0,4195310415.0,5902281.5,4201212696.5,0.9973598403167933,0.9987630019310798,0.0014048994722207586,relapsed,10,0.0007324954420567616,0.0012926175222215072,0.001928464816653686,0.001393253773095225,0.0017320427648014633,0.0013700773783582375,0.0025388016783304854,0.0015151208185992513,0.0014830379779446204,0.0012887926031719594
2.5,-4.25,0.1,0.00011708796207911743,0.00820849986238988,0.00011708796207911743,5.714285714285714e-07,4144622874.5,4133539958.5,9083038.0,4142622996.5,0.9973259530877494,0.9995174764844579,0.0021925813687786785,relapsed,10,0.002328357644122019,0.0019010670275805147,0.0021003432968819853,0.0023377046990916903,0.0025876276608715874,0.0022550680461204107,0.0018898414237550692,0.0019413256625738467,0.0021578920174177207,0.0022614694113825278
2.5,-4.0,0.1,0.00015034391929775722,0.00820849986238988,0.00015034391929775722,5.714285714285714e-07,4272880989.0,4259047494.0,12626223.0,4271673717.0,0.9967624899837808,0.9997174571435273,0.002955802300571638,relapsed,10,0.004581427448137418,0.002868555832221383,0.003053775401326326,0.0024379648498122175,0.002614533675108488,0.003025821354905363,0.0032925034576627163,0.002853615926489875,0.000973471744379799,0.0031210496587237685
2.5,-3.75,0.1,0.00019304541362277091,0.00820849986238988,0.00019304541362277091,5.714285714285714e-07,4143118638.0,4128656985.0,15279249.5,4143936234.5,0.9965094764925725,1.0001973384234044,0.003687134317558718,relapsed,10,0.003662507310701463,0.004603153407451929,0.003886698594595579,0.002925090162384739,0.0030699549330399033,0.003894285511477331,0.0029050859708464,0.005394716150865845,0.004014243260296384,0.0036907564203293264
2.5,-3.5,0.1,0.00024787521766663585,0.00820849986238988,0.00024787521766663585,5.714285714285714e-07,4151070695.5,4125378428.5,19601100.5,4144979529.0,0.9938106891246512,0.9985326276166283,0.004728877516248887,relapsed,10,0.004836727403945771,0.006947493799650875,0.0044254254987123225,0.0050774788748432975,0.004669072320153813,0.005084389990551575,0.004745028802952812,0.004709252488180819,0.004484033855619445,0.003771200448550976
2.5,-3.25,0.1,0.00031827807965096667,0.00820849986238988,0.00031827807965096667,5.714285714285714e-07,4162732996.0,4136547030.5,24795848.0,4161342878.5,0.9937094294721371,0.9996660565303286,0.0059586168993932855,relapsed,10,0.0066277702573514195,0.005605809791623306,0.00572170085239842,0.005189857707504479,0.006942986638307009,0.005514549039611068,0.00414255063339677,0.006074067204860252,0.00669501433794884,0.006058725737354212
2.5,-3.0,0.1,0.0004086771438464067,0.00820849986238988,0.0004086771438464067,5.714285714285714e-07,4153664670.0,4124431457.0,32448437.5,4156879894.5,0.9929620671569522,1.0007740693472975,0.0078059598361099585,relapsed,10,0.009531583378802538,0.007074635982306805,0.008125776103834892,0.008509945697020287,0.008675951387362256,0.009573047484747075,0.007669372196696853,0.006805273221054812,0.0068526378087111805,0.006248603336035164
2.5,-2.75,0.1,0.0005247518399181384,0.00820849986238988,0.0005247518399181384,5.714285714285714e-07,4265316546.5,4226609159.5,37845462.5,4264454622.0,0.9909250845563239,0.9997979225010375,0.008874631308012543,relapsed,10,0.008226427367723967,0.008710632210798396,0.008030741852619995,0.009068993414256432,0.00937383485183198,0.00817060195058293,0.008075886874404812,0.011918448965991828,0.00881270029850851,0.011343804767804649
2.5,-2.5,0.1,0.0006737946999085467,0.00820849986238988,0.0006737946999085467,5.714285714285714e-07,4228729381.0,4177496403.5,48617413.5,4226113817.0,0.9878845457147971,0.9993814775635084,0.011504047360113965,relapsed,10,0.003650332116801341,0.012034505205187705,0.011257388197390418,0.01435999426576794,0.011792012718136999,0.01151358425274102,0.012418520975948774,0.010584769939752478,0.011078109544947201,0.009424986627410328
2.5,-2.25,0.1,0.0008651695203120633,0.00820849986238988,0.0008651695203120633,5.714285714285714e-07,4096164942.5,4038745221.0,56705436.5,4095450657.5,0.9859820777956868,0.9998256210357672,0.013845957683840072,relapsed,10,0.013474016127419363,0.014269614339734032,0.015754346608183537,0.014120471316574694,0.013593851175671016,0.012599981736861962,0.01365771709791788,0.015966019160131385,0.012143008796446591,0.012059741259018304
2.5,-2.0,0.1,0.0011108996538242307,0.00820849986238988,0.0011108996538242307,5.714285714285714e-07,4341802224.0,4247641921.0,73780898.5,4321422819.5,0.9783130833367965,0.9953062338060105,0.01707328849356533,relapsed,10,0.02304648821681523,0.017738332101135422,0.020146351255249648,0.028139837659970024,0.01342423384999458,0.015538220692547596,0.01538969077207685,0.021270877373524448,0.017196720992513796,0.015327345619896016
2.5,-1.75,0.1,0.0014264233908999255,0.00820849986238988,0.0014264233908999255,5.714285714285714e-07,4151004832.0,4073728281.5,82994697.5,4156722979.0,0.9813836520005285,1.001377533207362,0.019966376859678624,relapsed,10,0.05185158250003315,0.017741988310282817,0.017265130405923066,0.021031877820780694,0.02018739245563117,0.01687215288967448,0.019658937835371315,0.018535708933893263,0.021156989854367838,0.023639409677300955
2.5,-1.5,0.1,0.0018315638888734178,0.00820849986238988,0.0018315638888734178,5.714285714285714e-07,4293542214.5,4195637049.5,98418170.0,4294055219.5,0.9771971113572941,1.0001194829290994,0.022919633066912404,relapsed,10,0.017337983563661126,0.02382531298852063,0.038623819273247074,0.022335688452831983,0.021958647492479753,0.022670241960017535,0.0255204491307008,0.024022395950721528,0.019306111077001364,0.023669134249101425
2.5,-1.25,0.1,0.0023517745856009107,0.00820849986238988,0.0023517745856009107,5.714285714285714e-07,4181579275.5,4082311210.5,103536743.5,4185847954.0,0.9762606282316314,1.001020829265395,0.024734950872035425,relapsed,10,0.02536723079062156,0.0269511553752073,0.024291790519362325,0.023810654872967015,0.025706361543302962,0.022068261760699016,0.027151986333459485,0.029309756117268413,0.023037395963284035,0.022461024114157683
2.5,-1.0,0.1,0.00301973834223185,0.00820849986238988,0.00301973834223185,5.714285714285714e-07,4143602838.5,4057694989.0,110068069.0,4167763058.0,0.9792673543174087,1.005830727615957,0.026409387354380642,relapsed,10,0.005614720467195884,0.028883992065812353,0.024763191585553266,0.023471754384760443,0.026805137053962688,0.02267186993471075,0.026712807644100972,0.028048584814920282,0.029412052398660817,0.028516713755504384
2.5,-0.75,0.1,0.0038774207831722006,0.00820849986238988,0.0038774207831722006,5.714285714285714e-07,4088421970.0,3976135262.0,104901612.5,4081036874.5,0.9725354406115766,0.9981936562433648,0.025704647060522414,relapsed,10,0.024893582085188676,0.027531075283617246,0.024120610822488092,0.024299855573679318,0.02375998299680011,0.03871410161421223,0.022554061052107315,0.027135862207993668,0.02382998349320535,0.028955558398166385
2.5,-0.5,0.1,0.004978706836786394,0.00820849986238988,0.004978706836786394,5.714285714285714e-07,4286760679.5,4173816230.5,106171346.0,4279987576.5,0.9736527281450259,0.9984199950717123,0.02480646125772697,relapsed,10,0.026454613173308415,0.025588721113145644,0.022082773334174046,0.030264773518211958,0.024830685951729443,0.022598202120717163,0.02652738241666319,0.022738499166180207,0.030672693940743116,0.02465947032287327
2.5,-0.25,0.1,0.006392786120670757,0.00820849986238988,0.006392786120670757,5.714285714285714e-07,4152780013.5,4057889260.5,90119152.5,4148008413.0,0.977150065090969,0.9988509864513679,0.021725884696270986,relapsed,10,0.020732410612571993,0.02071759703035876,0.01996218686106873,0.022695810901892124,0.02000802486894905,0.02113897114806963,0.07487932256098573,0.023541696183921147,0.024677777260048436,0.009786505796382135
2.5,0.0,0.1,0.00820849986238988,0.00820849986238988,0.00820849986238988,5.714285714285714e-07,4211773604.5,4098492474.5,73178370.0,4171670844.5,0.9731036991449478,0.9904784150892743,0.017541741121900732,relapsed,10,0.01972803020431866,0.06603682174704259,0.025391488543491433,0.017314925038908212,0.017852031250422024,0.016542983224424133,0.016725075027652053,0.018322381617282044,0.01734172682465911,0.016111350715869832
2.75,-5.0,0.1,4.307425405756875e-05,0.006392786120670757,4.307425405756875e-05,5.714285714285714e-07,4187213598.0,4177912850.5,6204216.0,4184117066.5,0.9977787740504944,0.9992604792118848,0.0014828017240898581,relapsed,10,0.001455740636235968,0.0017717538565933991,0.0012966461845562165,0.0012499756430627885,0.0018337036075039088,0.0016706413786493036,0.001471105132945254,0.001230140476799357,0.002438354398179201,0.0014859009106634792
